M_scale,m1_eV,m2_eV,m3_eV,Delta_m_atm2_eV2,axiom_hit
1e-10,0.0011197058241037082,13.208308974152212,1427.9973881093717,2039002.081021231,0
4.281332398719396e-10,0.00026153209324242775,3.0850930841303037,333.5404157211678,111239.69112011169,0
1.8329807108324374e-09,6.10866125042418e-05,0.7205918150744607,77.9057509809176,6068.786783336792,0
7.847599703514623e-09,1.4268131230014663e-05,0.16831017729200362,18.1966135131718,331.0884150319665,0
3.3598182862837814e-08,3.3326380437740552e-06,0.039312569456729826,4.2502220847450864,18.062842291537578,0
1.438449888287663e-07,7.784114227549566e-07,0.009182321248518043,0.9927334971740074,0.9854354813878239,0
6.158482110660254e-07,1.8181522719137422e-07,0.002144734487624604,0.2318748942434251,0.05376136669437717,0
2.6366508987303555e-06,4.246697295583908e-08,0.0005009502388242789,0.054159516862736935,0.0029330023156633085,0
1.1288378916846883e-05,9.91910204602229e-09,0.00011700802277676919,0.012650154629184313,0.00016001272126487916,0
4.8329302385717524e-05,2.316825960299001e-09,2.7329815085548567e-05,0.0029547237754695577,8.729645670532467e-06,0
0.00020691380811147902,5.411460135615713e-10,6.383483584157886e-06,0.0006901411757595265,4.7625409361607244e-07,0
0.0008858667904100814,1.263966361788299e-10,1.4910039655101962e-06,0.00016119775609246283,2.598249347641997e-08,0
0.003792690190732246,2.952273367436661e-11,3.482569972740672e-07,3.765130596743183e-05,1.4174995581170172e-09,0
0.016237767391887176,6.895688286944812e-12,8.134313452939003e-08,8.794296368741171e-06,7.733303191571908e-11,0
0.0695192796177559,1.6106407175970277e-12,1.8999490568338227e-08,2.054102683401005e-06,4.218976853313353e-12,0
0.2976351441631313,3.762008103082097e-13,4.437751802224286e-09,4.797811737335356e-07,2.3017028102807086e-13,0
1.2742749857031321,8.787003093259855e-14,1.0365352158948642e-09,1.1206351879546762e-07,1.2557157839568335e-14,0
5.455594781168514,2.052399177388835e-14,2.4210575572335985e-10,2.6174916675235803e-08,6.850676477585829e-16,0
23.357214690901213,4.7938328217700054e-15,5.6549161143334e-11,6.113731482999328e-09,3.737451483859115e-17,0
100.0,1.119705824103708e-15,1.3208308974152212e-11,1.4279973881093718e-09,2.039002081021231e-18,0
