theta_star,final_A,delta_E,constraint_hits
2.18,0.010000000000000009,-0.00014068941469802532,125250
2.5533333333333337,0.009999999999999102,-0.00014028677629218667,125250
2.9266666666666667,0.009999999999999716,-0.00013738385055772628,125250
3.3,0.009999999999998233,-0.00013737928090284957,125250
3.6733333333333333,0.010000000000001459,-0.00013926229384864097,125250
4.046666666666667,0.010000000000000675,-0.0001417230587810181,125250
4.42,0.010000000000000186,-0.00013742677262440495,125250
4.793333333333333,0.010000000000000068,-0.0001373787894645151,125250
5.166666666666666,0.010000000000001697,-0.00013820914712170396,125250
5.54,0.01000000000000006,-0.00014267846149706997,125250
