n_defects,theta_star,final_A,delta_E,constraint_hits
1,2.18,0.009999999999999452,1.1665205505773102e-05,125250
1,2.5533333333333337,0.010000000000001119,1.1627132990410516e-05,125250
1,2.9266666666666667,0.010000000000000675,1.14354728257271e-05,125250
1,3.3,0.009999999999997844,1.1435285808714113e-05,125250
1,3.6733333333333333,0.010000000000000231,1.1542833821931442e-05,125250
1,4.046666666666667,0.010000000000000049,1.1775491752574752e-05,125250
1,4.42,0.010000000000000049,1.1437246871359719e-05,125250
1,4.793333333333333,0.010000000000000672,1.1435265717563148e-05,125250
1,5.166666666666666,0.01000000000000049,1.1475128452120842e-05,125250
1,5.54,0.010000000000000843,1.1893050216593704e-05,125250
3,2.18,0.010000000000002531,-0.00018941811106065742,125250
3,2.5533333333333337,0.009999999999998658,-0.00018831044607325875,125250
3,2.9266666666666667,0.009999999999999117,-0.00018047564200740496,125250
3,3.3,0.009999999999999742,-0.00018046349640554737,125250
3,3.6733333333333333,0.00999999999999973,-0.00018551652461451518,125250
3,4.046666666666667,0.009999999999999254,-0.00019228854397967954,125250
3,4.42,0.01000000000000177,-0.00018058974987633647,125250
3,4.793333333333333,0.010000000000001475,-0.00018046219025391608,125250
3,5.166666666666666,0.010000000000001737,-0.00018267818483319598,125250
3,5.54,0.010000000000000044,-0.00019497877229668337,125250
5,2.18,0.010000000000002451,-8.654986435518985e-05,125250
5,2.5533333333333337,0.009999999999998857,-8.575802264676469e-05,125250
5,2.9266666666666667,0.009999999999990553,-7.96888042340349e-05,125250
5,3.3,0.00999999999999801,-7.967877852799177e-05,125250
5,3.6733333333333333,0.010000000000004814,-8.368686040549633e-05,125250
5,4.046666666666667,0.010000000000004228,-8.852403520731578e-05,125250
5,4.42,0.009999999999999731,-7.978290601085014e-05,125250
5,4.793333333333333,0.010000000000002035,-7.967770024319698e-05,125250
5,5.166666666666666,0.010000000000000548,-8.147616094911214e-05,125250
5,5.54,0.00999999999999709,-9.02726713944979e-05,125250
7,2.18,0.009999999999998899,-0.00023640810299685455,125250
7,2.5533333333333337,0.010000000000003225,-0.00023352845215929285,125250
7,2.9266666666666667,0.010000000000000906,-0.00021280173365778587,125250
7,3.3,0.010000000000001674,-0.00021276917158585817,125250
7,3.6733333333333333,0.009999999999996234,-0.00022620578047694018,125250
7,4.046666666666667,0.009999999999996234,-0.0002438042208585678,125250
7,4.42,0.00999999999999801,-0.00021310759679504798,125250
7,4.793333333333333,0.010000000000001563,-0.00021276566975192424,125250
7,5.166666666666666,0.009999999999996595,-0.00021868652985079784,125250
7,5.54,0.010000000000002451,-0.0002506442547394183,125250
10,2.18,0.00999999999999665,5.6465335626754154e-05,125250
10,2.5533333333333337,0.009999999999990905,5.7455759237434734e-05,125250
10,2.9266666666666667,0.00999999999999952,6.504123383122007e-05,125250
10,3.3,0.009999999999999787,6.505377104648602e-05,125250
10,3.6733333333333333,0.01000000000001503,6.004427035000148e-05,125250
10,4.046666666666667,0.010000000000008509,5.399151301244132e-05,125250
10,4.42,0.01000000000000334,6.492356077458794e-05,125250
10,4.793333333333333,0.009999999999991011,6.50551194505411e-05,124753
10,5.166666666666666,0.00999999999999801,6.280674128777974e-05,125250
10,5.54,0.009999999999996935,5.1790330717338406e-05,125250
