theta_star,m_nu_heaviest,delta_E_micro,a_final_frw,final_A_micro
2.18,1.32e-10,1.1415362285778723e-05,13.978307245715575,0.530724571557446
2.356842105263158,1.32e-10,1.140000020970261e-05,13.978000004194053,0.5000004194052213
2.533684210526316,1.32e-10,1.1415586591288269e-05,13.978311731825766,0.5311731825765387
2.710526315789474,1.32e-10,1.14601919310348e-05,13.979203838620696,0.6203838620695977
2.887368421052632,1.32e-10,1.1528294358435859e-05,13.980565887168718,0.7565887168717181
3.0642105263157897,1.32e-10,1.1611463206055377e-05,13.982229264121107,0.9229264121107518
3.241052631578947,1.32e-10,1.1699402675019803e-05,13.983988053500395,1.0988053500396038
3.417894736842105,1.32e-10,1.1781226392469358e-05,13.985624527849387,1.262452784938715
3.594736842105263,1.32e-10,1.1846805078486632e-05,13.986936101569732,1.3936101569732635
3.771578947368421,1.32e-10,1.1888020489511077e-05,13.987760409790221,1.4760409790221525
3.948421052631579,1.32e-10,1.1899770407650488e-05,13.98799540815301,1.4995408153009748
4.125263157894737,1.32e-10,1.188060026430849e-05,13.98761200528617,1.461200528616981
4.302105263157895,1.32e-10,1.1832883206954066e-05,13.98665766413908,1.3657664139081316
4.478947368421053,1.32e-10,1.1762526317859246e-05,13.985250526357184,1.2250526357184932
4.6557894736842105,1.32e-10,1.1678239353143327e-05,13.983564787062866,1.0564787062866539
4.832631578947368,1.32e-10,1.1590456527794435e-05,13.981809130555888,0.8809130555888693
5.009473684210526,1.32e-10,1.1510044823142871e-05,13.980200896462858,0.720089646285741
5.186315789473684,1.32e-10,1.1446958720486236e-05,13.978939174409724,0.5939174409724729
5.363157894736842,1.32e-10,1.1409007896683831e-05,13.978180157933677,0.5180157933676618
5.54,1.32e-10,1.1400890433531167e-05,13.978017808670623,0.5017808670623325
