theta_star,final_h,final_V,g_eff,g_prime_eff
2.18,,,0.6438994194302468,0.3427883534219127
2.5533333333333337,,,0.6439987172073536,0.34188670684913636
2.9266666666666667,,,0.6472912143934684,0.34072513540353766
3.3,,,0.6520250188628369,0.33946366463991295
3.6733333333333333,,,0.6556813388577254,0.33827608288576777
4.046666666666667,,,0.6563146971776378,0.3373259990433296
4.42,,,0.6535880926375419,0.33674430277467254
4.793333333333333,,,0.6489523137283089,0.33661113229984974
5.166666666666666,,,0.6448739941655491,0.33694483404016556
5.54,,,0.6435231512718104,0.3376994350971531
