theta_star,omega_h2_n1,omega_h2_n5,omega_h2_n10
2.18,7.740960365470435e-26,7.740960365470435e-26,7.740960365470435e-26
2.356842105263158,2.1353253039708657e-25,2.1353253039708657e-25,2.1353253039708657e-25
2.533684210526316,7.623404067300023e-26,7.623404067300023e-26,7.623404067300023e-26
2.710526315789474,2.602941874605392e-27,2.602941874605392e-27,2.602941874605392e-27
2.887368421052632,2.1252063132353176e-30,2.1252063132353176e-30,2.1252063132353176e-30
3.0642105263157897,2.1698965530248423e-38,2.1698965530248423e-38,2.1698965530248423e-38
3.241052631578947,1.1546149678228797e-36,1.1546149678228797e-36,1.1546149678228797e-36
3.417894736842105,7.092000769525622e-30,7.092000769525622e-30,7.092000769525622e-30
3.594736842105263,4.645265631119413e-27,4.645265631119413e-27,4.645265631119413e-27
3.771578947368421,9.733280534186292e-26,9.733280534186292e-26,9.733280534186292e-26
3.948421052631579,2.1041924546313356e-25,2.1041924546313356e-25,2.1041924546313356e-25
4.125263157894737,5.863899902642915e-26,5.863899902642915e-26,5.863899902642915e-26
4.302105263157895,1.4361870145662257e-27,1.4361870145662257e-27,1.4361870145662257e-27
4.478947368421053,6.060318693652446e-31,6.060318693652446e-31,6.060318693652446e-31
4.6557894736842105,1.5000496973577211e-40,1.5000496973577211e-40,1.5000496973577211e-40
4.832631578947368,2.2896876357188744e-35,2.2896876357188744e-35,2.2896876357188744e-35
5.009473684210526,1.987253244353097e-29,1.987253244353097e-29,1.987253244353097e-29
5.186315789473684,7.652074710724242e-27,7.652074710724242e-27,7.652074710724242e-27
5.363157894736842,1.1870656285712606e-25,1.1870656285712606e-25,1.1870656285712606e-25
5.54,2.0168622215253339e-25,2.0168622215253339e-25,2.0168622215253339e-25
