tolerance,set,n_theta,frac_of_grid,Omega_tot_mean,Omega_tot_std,Omega_tot_min,Omega_tot_max
0.01,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.01,HOST_NEAR_FLAT,1274,0.6220703125,1.0000164767284307,0.00034610850294443157,0.9999999999999998,1.008910329628829
0.01,HOST_NEAR_FLAT_AND_FRW_VIABLE,242,0.1181640625,1.000086741124053,0.0007916030280115393,0.9999999999999999,1.008910329628829
0.01,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
0.02,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.02,HOST_NEAR_FLAT,1276,0.623046875,1.0000398679396556,0.0006845589230233668,0.9999999999999998,1.0153064892429151
0.02,HOST_NEAR_FLAT_AND_FRW_VIABLE,244,0.119140625,1.0002084897172163,0.0015567635925639242,0.9999999999999999,1.0153064892429151
0.02,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
0.03,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.03,HOST_NEAR_FLAT,1280,0.625,1.000116637220716,0.0015431401199830768,0.9999999999999998,1.0280602364324565
0.03,HOST_NEAR_FLAT_AND_FRW_VIABLE,248,0.12109375,1.0006019985585337,0.0034694716115581522,0.9999999999999999,1.0280602364324565
0.03,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
0.05,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.05,HOST_NEAR_FLAT,1286,0.6279296875,1.0003057894340315,0.0031838170839431253,0.9999999999999998,1.0470866977916058
0.05,HOST_NEAR_FLAT_AND_FRW_VIABLE,254,0.1240234375,1.0015482094967099,0.007039435074830059,0.9999999999999999,1.0470866977916058
0.05,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
0.07,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.07,HOST_NEAR_FLAT,1292,0.630859375,1.000582167851702,0.005157500148902703,0.9999999999999998,1.0663912943843268
0.07,HOST_NEAR_FLAT_AND_FRW_VIABLE,260,0.126953125,1.0028929264015347,0.011219517209858374,0.9999999999999999,1.0663912943843268
0.07,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
0.1,ALL_GRID,2048,1.0,1.192229248706891,0.26496819081031436,0.9999999999999998,1.6898228492606708
0.1,HOST_NEAR_FLAT,1302,0.6357421875,1.0012317405691622,0.009031365181467948,0.9999999999999998,1.0983883412916904
0.1,HOST_NEAR_FLAT_AND_FRW_VIABLE,270,0.1318359375,1.0059397267446266,0.01914205056280273,0.9999999999999999,1.0983883412916904
0.1,HOST_NEAR_FLAT_AND_CORRIDOR_AND_FRW_VIABLE,154,0.0751953125,1.0,0.0,1.0,1.0
