scale,age_min_Gyr,age_max_Gyr,set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_host_std,age_Gyr_repo_mean,age_Gyr_repo_std,omega_lambda_repo_mean,omega_lambda_repo_std
0.5,13.55,14.05,HOST_WINDOW,12,0.005859375,13.801504542005324,0.15227381112780505,13.396364038989562,0.03178206005167579,0.7251242847685293,0.010982214208877888
0.5,13.55,14.05,FRW_VIABLE_AND_HOST_WINDOW,12,0.005859375,13.801504542005324,0.15227381112780505,13.396364038989562,0.03178206005167579,0.7251242847685293,0.010982214208877888
0.5,13.55,14.05,CORRIDOR_AND_VIABLE_AND_HOST_WINDOW,6,0.0029296875,13.668439704636263,0.07074463885767712,13.42414931279007,0.015508943961850603,0.7155231400254051,0.005307919800706601
1.0,13.3,14.3,HOST_WINDOW,22,0.0107421875,13.766056927995926,0.27804808184174773,13.405925357422102,0.058779193481374094,0.7219710218701345,0.0202442063300186
1.0,13.3,14.3,FRW_VIABLE_AND_HOST_WINDOW,22,0.0107421875,13.766056927995926,0.27804808184174773,13.405925357422102,0.058779193481374094,0.7219710218701345,0.0202442063300186
1.0,13.3,14.3,CORRIDOR_AND_VIABLE_AND_HOST_WINDOW,12,0.005859375,13.545826208496983,0.14020268438662042,13.452299455227367,0.03217537210540404,0.7059818054592418,0.010905676060969507
1.5,13.05,14.55,HOST_WINDOW,34,0.0166015625,13.739154463482336,0.4280781433246765,13.415831804817428,0.0913684799747738,0.7188540053779119,0.03136000069290055
1.5,13.05,14.55,FRW_VIABLE_AND_HOST_WINDOW,34,0.0166015625,13.739154463482336,0.4280781433246765,13.415831804817428,0.0913684799747738,0.7188540053779119,0.03136000069290055
1.5,13.05,14.55,CORRIDOR_AND_VIABLE_AND_HOST_WINDOW,19,0.00927734375,13.409941153567287,0.214555007844037,13.485579796541131,0.05186965950657956,0.6948608954682828,0.017378347730311116
2.0,12.8,14.8,HOST_WINDOW,46,0.0224609375,13.719691862669665,0.5757083518612384,13.425903914162385,0.12366853249851252,0.7158107577420363,0.0423020228258354
2.0,12.8,14.8,FRW_VIABLE_AND_HOST_WINDOW,46,0.0224609375,13.719691862669665,0.5757083518612384,13.425903914162385,0.12366853249851252,0.7158107577420363,0.0423020228258354
2.0,12.8,14.8,CORRIDOR_AND_VIABLE_AND_HOST_WINDOW,26,0.0126953125,13.282521456025197,0.28093874899708143,13.518894396254996,0.07128454941845164,0.6838958660419292,0.023614853953680428
