relpath,columns,has_omega_lambda,has_omega_lambda_repo,has_Omega_lambda,has_Omega_m,has_Omega_tot
stage2/external_frw_host/outputs/tables/stage2_external_frw_rung1_age_crosscheck_v1.csv,"theta_index,theta,omega_lambda,age_Gyr,age_Gyr_host,age_Gyr_diff,age_Gyr_rel_diff,frw_viable",True,False,False,False,False
stage2/external_frw_host/outputs/tables/stage2_external_frw_background_bridge_v1.csv,"theta_index,theta,omega_lambda,age_Gyr_toy,age_Gyr_host,frw_viable",True,False,False,False,False
stage2/external_frw_host/outputs/tables/stage2_external_frw_host_age_anchor_mask_v1.csv,"theta_index,theta,omega_lambda,age_Gyr_host,age_Gyr_toy,frw_viable,in_host_age_anchor_window",True,False,False,False,False
stage2/external_frw_host/outputs/tables/stage2_external_frw_host_age_anchor_summary_v1.csv,"set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_toy_mean",False,False,False,False,False
stage2/external_frw_host/outputs/tables/stage2_external_frw_rung4_age_window_summary_v1.csv,"set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_host_std,age_Gyr_host_min,age_Gyr_host_max,age_Gyr_toy_mean,age_Gyr_toy_std,age_Gyr_toy_min,age_Gyr_toy_max",False,False,False,False,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_params_grid_v1.csv,"theta_index,theta,omega_lambda_repo,age_Gyr_repo,Omega_m,Omega_lambda,H0_km_s_Mpc",False,True,True,True,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_host_background_grid_v1.csv,"theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host",False,False,True,True,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_host_rung3_age_contrast_v1.csv,"set,n_theta,frac_of_grid,age_Gyr_diff_mean,age_Gyr_diff_std,age_Gyr_diff_min,age_Gyr_diff_max,age_Gyr_rel_diff_mean,age_Gyr_rel_diff_std,age_Gyr_rel_diff_min,age_Gyr_rel_diff_max",False,False,False,False,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_host_age_anchor_mask_v1.csv,"theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host,omega_lambda_repo,age_Gyr_repo,frw_viable,in_toy_corridor,in_host_age_anchor_window",False,True,True,True,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_flat_subset_mask_v1.csv,"theta_index,Omega_m,Omega_lambda,Omega_tot,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,frw_viable,in_toy_corridor,is_near_flat",False,True,True,True,True
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_host_age_anchor_corridor_kernel_v1.csv,"theta_index,theta,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,omega_lambda,age_Gyr,frw_viable,in_toy_corridor,mech_baseline_A0,mech_baseline_A_floor,mech_baseline_bound,mech_binding_A0,mech_binding_A,mech_binding_bound",True,True,False,False,False
stage2/external_cosmo_host/outputs/tables/stage2_external_cosmo_host_age_window_sensitivity_v1.csv,"scale,age_min_Gyr,age_max_Gyr,set,n_theta,frac_of_grid,age_Gyr_host_mean,age_Gyr_host_std,age_Gyr_repo_mean,age_Gyr_repo_std,omega_lambda_repo_mean,omega_lambda_repo_std",False,False,False,False,False
stage2/external_cosmo_host/outputs/tables/stage2_external_host_kernel_comparison_v1.csv,"set_name,n_theta,theta_min,theta_max,omega_lambda_mean,omega_lambda_min,omega_lambda_max,age_repo_mean,age_repo_min,age_repo_max,age_host_frw_mean,age_host_frw_min,age_host_frw_max,age_host_cosmo_mean,age_host_cosmo_min,age_host_cosmo_max,mech_baseline_A0_mean,mech_binding_A0_mean",False,False,False,False,False
