family_id,stride,nominal_n_theta,effective_n_theta,n_true,frac_of_subgrid,frac_of_fullgrid,n_segments
F1_FRW_VIABLE,1,2048,2048,1016,0.49609375,0.49609375,1
F1_FRW_VIABLE,2,2048,1024,508,0.49609375,0.248046875,1
F1_FRW_VIABLE,4,2048,512,254,0.49609375,0.1240234375,1
F1_FRW_VIABLE,8,2048,256,127,0.49609375,0.06201171875,1
F2_LCDM_LIKE,1,2048,2048,63,0.03076171875,0.03076171875,2
F2_LCDM_LIKE,2,2048,1024,31,0.0302734375,0.01513671875,2
F2_LCDM_LIKE,4,2048,512,16,0.03125,0.0078125,2
F2_LCDM_LIKE,8,2048,256,8,0.03125,0.00390625,2
F3_TOY_CORRIDOR,1,2048,2048,1186,0.5791015625,0.5791015625,2
F3_TOY_CORRIDOR,2,2048,1024,593,0.5791015625,0.28955078125,2
F3_TOY_CORRIDOR,4,2048,512,296,0.578125,0.14453125,2
F3_TOY_CORRIDOR,8,2048,256,148,0.578125,0.072265625,2
F4_CORRIDOR_AND_VIABLE,1,2048,2048,154,0.0751953125,0.0751953125,2
F4_CORRIDOR_AND_VIABLE,2,2048,1024,77,0.0751953125,0.03759765625,2
F4_CORRIDOR_AND_VIABLE,4,2048,512,38,0.07421875,0.0185546875,2
F4_CORRIDOR_AND_VIABLE,8,2048,256,19,0.07421875,0.00927734375,2
F5_CORRIDOR_AND_LCDM,1,2048,2048,40,0.01953125,0.01953125,2
F5_CORRIDOR_AND_LCDM,2,2048,1024,20,0.01953125,0.009765625,2
F5_CORRIDOR_AND_LCDM,4,2048,512,10,0.01953125,0.0048828125,2
F5_CORRIDOR_AND_LCDM,8,2048,256,5,0.01953125,0.00244140625,2
