family_id,column,n_theta,window,n_true_before,n_true_after,frac_true_before,frac_true_after,n_segments_before,n_segments_after,jaccard
F1_FRW_VIABLE,frw_viable,2048,1,1016,1016,0.49609375,0.49609375,1,1,1.0
F1_FRW_VIABLE,frw_viable,2048,3,1016,1016,0.49609375,0.49609375,1,1,1.0
F1_FRW_VIABLE,frw_viable,2048,5,1016,1016,0.49609375,0.49609375,1,1,1.0
F2_LCDM_LIKE,lcdm_like,2048,1,63,63,0.03076171875,0.03076171875,2,2,1.0
F2_LCDM_LIKE,lcdm_like,2048,3,63,63,0.03076171875,0.03076171875,2,2,1.0
F2_LCDM_LIKE,lcdm_like,2048,5,63,63,0.03076171875,0.03076171875,2,2,1.0
F3_TOY_CORRIDOR,in_toy_corridor,2048,1,1186,1186,0.5791015625,0.5791015625,2,2,1.0
F3_TOY_CORRIDOR,in_toy_corridor,2048,3,1186,1186,0.5791015625,0.5791015625,2,2,1.0
F3_TOY_CORRIDOR,in_toy_corridor,2048,5,1186,1186,0.5791015625,0.5791015625,2,2,1.0
F4_CORRIDOR_AND_VIABLE,shape_and_viable,2048,1,154,154,0.0751953125,0.0751953125,2,2,1.0
F4_CORRIDOR_AND_VIABLE,shape_and_viable,2048,3,154,154,0.0751953125,0.0751953125,2,2,1.0
F4_CORRIDOR_AND_VIABLE,shape_and_viable,2048,5,154,154,0.0751953125,0.0751953125,2,2,1.0
F5_CORRIDOR_AND_LCDM,shape_and_lcdm,2048,1,40,40,0.01953125,0.01953125,2,2,1.0
F5_CORRIDOR_AND_LCDM,shape_and_lcdm,2048,3,40,40,0.01953125,0.01953125,2,2,1.0
F5_CORRIDOR_AND_LCDM,shape_and_lcdm,2048,5,40,40,0.01953125,0.01953125,2,2,1.0
